address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score,jaccard_skill_score,semantic_skill_score,skill_score,_start,_end,_experience_years,_required_years,experience_score,project_score,raw_match_score,match_percentage,match_category
,"Enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. Outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. Excellent management skills, encouraging career growth of subordinates through additional training and opportunities. Keep up-to-date with industry changes through professional affiliation.","['Microsoft Office Suite', 'VideoScribe Software', 'PeopleSoft Finance Applications', 'Accounting', 'billing', 'Change Management', 'contracts', 'Client Relations', 'Database', 'delivery', 'Eclipse', 'Finance', 'financial reporting', 'financial statements', 'Front Office', 'hiring', 'instructor', 'Instructional Design', 'Leadership training', 'logistics', 'managing', 'needs analysis', 'payables', 'PeopleSoft HRMS', 'PeopleSoft', 'personnel', 'Program Management', 'Project Management', 'project plans', 'Teaching', 'training materials', 'training design and development', 'training material', 'training programs', 'upgrade', 'view']","['CALIFORNIA STATE UNIVERSITY, HAYWARD', 'UNIVERSITY OF MARYLAND, COLLEGE PARK', 'COLLEGE OF ARTS, SCIENCE, AND TECHNOLOGY']","['Master of Science', 'Bachelor of Science', 'Bachelor of Science']","['2003', '1993', '1983']","['4.0', None, None]","['GPA', None, None]","['Education with an option in Online Teaching and Learning', 'Accounting', 'Business Administration']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['January 1995', 'January 2003', 'January 1993']","['Current', 'January 2004', 'January 1995']","[['Project Management', 'Training Facilitation', 'Instructional Design', 'Development', 'client relations', 'program management', 'accounting'], ['Instructional Design', 'Training Management', 'Database Management'], ['Online Course Instruction']]","['Senior Manager', 'Instructional Designer/Training Manager/Database Manager/Senior Accountant', 'Online Course Instructor']","['City, State', 'City, State', 'City, State']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,,,,,,,,,,,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.1683,0.0,0.5623278,0.16869834065437317,,,0.0,5.0,0.0,1.0,0.2843491733074188,16.83,Very Low
,,"['R', 'Python', 'Tableau', 'Power BI', 'SQL', 'SAS', 'Deep Learning', 'Neural Networks', 'Artificial Intelligence']",['NARSEE MONJEE INSTITUTE'],['BCA'],['2020'],['N/A'],['N/A'],['N/A'],['DENA FUNDS'],['N/A'],['APR 2020'],['TILL DATE'],"[['predictive data analysis', 'large scale data handling']]",['BUSINESS ANALYST'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",['N/A'],['N/A'],['N/A'],['N/A'],,,['N/A'],[None],['N/A'],['N/A'],['N/A'],Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.1879,0.0,0.5687061,0.17061182856559753,,,0.0,5.0,0.0,1.0,0.285305917263031,18.79,Very Low
,,"['Data Analytics', 'Linear Regression', 'Logistic Regression', 'Business Intelligence', 'Business Analysis', 'GraphQL', 'Python']",['Raja Kashwant Singh General College'],['B.A'],['2020'],['N/A'],['N/A'],['Economics'],"['D&D Consultancy', 'Tanisha Quromba Brokerage']","['N/A', 'N/A']","['Jul 2020', 'Dec 2019']","['till date', 'May 2020']","[None, None]","['Associate Consultant', 'Junior Analyst Intern']","['N/A', 'N/A']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['Award', 'Competition', 'Competition']","['N/A', 'N/A', 'Young Economist Innovation']","[None, None, None]","['Silver Medal For Economics Junior Award', 'Finalist at business solution PAN India', 'Winner and Runner-Up for 2018 and 2019 respectively']",,,,,,,,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.519,0.5,0.4729162,0.49187486469745634,,,0.0,5.0,0.0,1.0,0.4459374353289604,51.9,Moderate
,"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.","['C', 'C++', 'Python', 'JAVA', 'HTML', 'CSS', 'JavaScript', 'Data Structures', 'SQL', 'PyCharm', 'Jupyter Notebook', 'Google Colab', 'Code Blocks', 'MATLAB', 'Turbo C++', 'MS Office', 'Scikit-Learn', 'TensorFlow', 'OpenCV', 'NumPy', 'Pytesseract', 'Keras']","['Dayalbagh Educational Institute, Dayalbagh, Agra', ""St. Clare's Senior Secondary School, Agra"", ""St. Clare's Senior Secondary School, Agra""]","['B.Tech. (Electrical Engineering Specialization in Computer Science)', 'XII', 'X']","['2023', '2019', '2017']","['9.35 (Till 4 semesters)', '94%', '10']","['CGPA', 'Percentage', 'CGPA']","['Electrical Engineering Specialized in Computer Science', 'N/A', 'N/A']","['Genisup India Pvt. Ltd.', 'VUGS Technologies']","[None, None]","['July 2021', 'May 2021']","['Aug 2021', 'June 2021']","[['NLP', 'Web Scraping', 'bs4', 'LDA Topic Modeling'], ['OCR', 'Pytesseract', 'NER Text Classification']]","['Intern', 'Intern']","['N/A', 'N/A']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","['Competition', 'Competition', 'Membership']","['The ECE Society, BIT Mesra, Ranchi', 'SGGSCC, University of Delhi', 'National Service Scheme']","[None, None, None]","['Participant', 'Winner', 'Member']",,,"['Udemy', 'Coursera', 'Udemy', 'SoloLearn']","[['Deep Learning', 'Computer Vision', 'OpenCV', 'SSD', 'GANs'], ['Neural Networks', 'Deep Learning'], ['Machine Learning', 'Python', 'R', 'Data Science'], ['Python']]","[None, None, None, None]","['Nov 2021', 'Apr 2021', 'Feb 2021', 'Dec 2020']","[None, None, None, None]",Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.2988,0.0,0.61368084,0.18410426378250122,,,0.0,5.0,0.0,1.0,0.29205213487148285,29.88,Low
"Sunnyvale, CA","Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.","['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']",['University of Santa Clara'],['Bachelor of Science'],['current'],['3.6'],['GPA'],['Computer Science'],"['Genesis10', 'Novalsys, Inc']","[None, None]","['May 2021', 'January 2021']","['current', 'May 2021']","[['Java', 'Kotlin', 'Android Development', 'Performance Monitoring', 'Quality Assurance', 'Problem Solving', 'Team Collaboration'], ['Android Development', 'Bug Fixing', 'Performance Improvement', 'Cross-Functional Collaboration', 'Data Integrity', 'Feature Development']]","['Android Developer Intern', 'Android Developer Intern']","['San Jose, CA', 'Milpitas, CA']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,,,,,,"['AWS', 'OWASP']","[None, None]","[None, None]","[None, None]","[None, None]",Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.1,0.0,0.5382358,0.16147074103355408,,,0.0,5.0,0.0,1.0,0.2807353734970093,10.0,Very Low
,,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['CDAC ACTS'],['B.Tech'],['2020'],['N/A'],['N/A'],['Electronics and Telecommunication'],['BlueM Solutions'],[None],['Jun 2020'],['till date'],"[['Machine Learning', 'Python']]",['Associate Software Engineer and Analyst'],['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,,,,,,['AWS'],[None],[None],['N/A'],[None],Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.2715,0.0,0.5996295,0.17988885939121246,,,0.0,1.0,0.0,1.0,0.28994443267583847,27.15,Low
,,"['budget', 'hardware', 'network systems', 'database', 'Dec', 'documentation', 'inspection', 'logistics', 'meetings', 'MS Excel', 'Microsoft Office', 'Outlook', 'PowerPoint', 'network', 'networking', 'Operating Systems', 'Oracle', 'personnel', 'presentations', 'progress', 'quality', 'Maintain documentation', 'routers', 'safety', 'scheduling', 'shipping', 'spreadsheets', 'supervision']",['University of Phoenix Texas'],['Business Administration'],['2019'],['N/A'],['N/A'],['Business Administration'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['N/A', 'N/A', 'N/A', 'N/A']","['01/2014', '12/2012', '01/2011', '07/2004']","['Current', None, '12/2013', '12/2010']","[['MS Excel', 'PowerPoint', 'Oracle'], ['networking'], ['documentation', 'shipping', 'production'], ['Microsoft Office', 'database', 'network systems', 'production']]","['Engineering Technician', 'Consultant', 'Engineering Technician', 'Manufacturing Lead']","['City, State', 'City, State', 'City, State', 'City, State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,,,,,,,,,,,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.2295,0.0,0.5839168,0.1751750409603119,,,0.0,5.0,0.0,1.0,0.2875875234603882,22.95,Low
,"Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras.","['Artificial Intelligence', 'Deep Learning', 'Reinforcement Learning', 'Tensorflow Keras', 'Scikit learn', 'Numpy', 'Pandas', 'Matplotlib']","['IIIT D&M Kancheepuram, Chennai']",['B.Tech(IT)'],['2019'],['N/A'],['N/A'],['Information Technology'],['Larsen & Toubro'],['N/A'],['Dec 2019'],['Till Date'],"[['OCR', 'Machine Learning']]",['Analyst Intern'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",['Scholarship'],['KSST'],['N/A'],['Scholar'],,,,,,,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.0815,0.0,0.53084344,0.15925303101539612,,,0.0,3.0,0.0,1.0,0.2796265184879303,8.15,Very Low
"Sunnyvale, CA","Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.","['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']",['University of Santa Clara'],['Bachelor of Science'],['current'],['3.6'],['GPA'],['Computer Science'],"['Genesis10', 'Novalsys, Inc']","[None, None]","['May 2021', 'January 2021']","['current', 'May 2021']","[['Java', 'Kotlin', 'Android Development', 'Performance Monitoring', 'Quality Assurance', 'Problem Solving', 'Team Collaboration'], ['Android Development', 'Bug Fixing', 'Performance Improvement', 'Cross-Functional Collaboration', 'Data Integrity', 'Feature Development']]","['Android Developer Intern', 'Android Developer Intern']","['San Jose, CA', 'Milpitas, CA']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,,,,,,"['AWS', 'OWASP']","[None, None]","[None, None]","[None, None]","[None, None]",Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.0474,0.0,0.5140333,0.15421000123023987,,,0.0,10.0,0.0,1.0,0.2771050035953522,4.74,Very Low
,,"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']","['Raja Birsimbal College, Ranchi']",['B.Tech'],['2019'],['N/A'],['N/A'],['CSE'],['TML Infotech'],['N/A'],['Mar 2019'],['till date'],"[['Machine learning', 'Deep Learning', 'Data Science']]",['Junior Machine Learning And Deep Learning Engineer'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",['Specialization'],['DeepLearning.ai'],['N/A'],['N/A'],,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.5513,0.5,0.50196815,0.5005904495716095,,,0.0,5.0,0.0,1.0,0.450295227766037,55.13,Moderate
,,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['TEMPLE UNIVERSITY'],['Bachelor of Business Administration'],['2002'],[None],[None],['Accounting'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['Mar 2006', 'Jan 2005', 'Aug 2002']","['Current', 'Mar 2006', 'Jan 2005']","[None, None, None]","['Senior Accountant', 'Accountant', 'Financial Analyst']","['City , State', 'City , State', 'City , State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",['Vice President'],['APS (Accounting Professional Society)'],[None],['Vice President'],,,['New York State'],[None],[None],['03/04/2015'],[None],Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.0756,0.0,0.5278281,0.1583484411239624,,,0.0,5.0,0.0,1.0,0.27917422354221344,7.56,Very Low
,"To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gained through experience and college, as well as to acquire new insight through experience and application.","['ArcView', 'AutoCad', 'Drafting', 'GPS', 'graphic', 'Inspection', 'Microsoft Access', 'Microstation', 'File Maintenance', 'repairs', 'supervision', 'surveys', 'utilities']","['University of Northern Iowa', 'Hawkeye Community College']","['BS', 'AAS']","['May 2004', 'May 1998']","['N/A', 'N/A']","[None, None]","['Construction Management', 'Civil and Construction Engineering Technology']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['August 2007', 'April 2006', 'May 1998']","['Current', 'August 2007', 'April 2006']","[['Design', 'Drafting', 'Microstation', 'GeoPak', 'ArcView', 'Microsoft Access', 'survey', 'Trimble GPS', 'Topcon Total Station', 'File Maintenance'], ['TOPO graphic surveys', 'land surveys', 'construction surveys', 'Ashtec GPS', 'Trimble 5600 Total Station', 'AutoCad', 'Eagle Point'], ['surveying', 'Trimble GPS', 'Geodimeter total station', 'Environmental Sampling', 'Construction Inspection', 'stream gauging', 'Microstation']]","['Engineering Technician', 'Senior Engineering Technician', 'Engineering Technician']","['City , State', 'City , State', 'City , State']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","['Home Improvement Projects', 'Outdoor Sports']","['N/A', 'N/A']","[None, None]","['N/A', 'Participant']",,,,,,,,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.2989,0.0,0.6136965,0.18410895764827728,,,0.0,3.0,0.0,1.0,0.2920544818043709,29.89,Low
,Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices.,"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['V.V.I.T'],['B.TECH'],['2018'],['N/A'],['N/A'],['N/A'],['ACS Solutions Pvt. Ltd.'],['N/A'],['May 2018'],['Ongoing'],"[['Machine Learning', 'React', 'MQTT', 'Cloud']]",['SOFTWARE ENGINEER - MACHINE LEARNING'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",['Competition'],['BITS GOA'],['N/A'],"['RUNNER-UP, SOLINOVATE']",,,,,,,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.1067,0.0,0.54097956,0.16229388117790222,,,0.0,3.0,0.0,1.0,0.28114694356918335,10.67,Very Low
,"To obtain a position where Teamwork, Integrity and Professionalism are a high standard in the Company's Mission Statement. All while engaging in new challenges and learning experiences.","['Material Management', 'Law Enforcement', 'mechanical test equipment', ""PC's"", 'MS Office', '10key by touch', 'Customer Service', 'Forklift and Crane Certification', 'Self-motivation', 'Leadership', 'NDT Level II', 'mechanical theory', 'pneumatic and hydraulic theory', 'automation', 'closing', 'coaching', 'oral', 'hardware', 'customer support', 'designing', 'direction', 'hand tools', 'inventory', 'ISO 9001', 'Machinery', 'materials', 'mechanical', 'personnel', 'processes', 'Procurement', 'programming', 'progress', 'quality', 'Quality Control', 'Receiving', 'repairs', 'repairing', 'research', 'robotic systems', 'safety', 'scheduling', 'shipping', 'simulation', 'Supervisor', 'Test Equipment', 'Troubleshooting', 'written', 'articles']","['Monterey Peninsula College', 'San Francisco Police Academy']","['General Courses', 'Technical Diploma']","[None, None]","[None, None]","[None, None]","[None, None]","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['05/2014', '04/2013', '11/2007', '10/2006', '11/2004', '07/2001']","[None, '05/2014', '06/2012', '11/2007', '05/2006', '02/2004']","[['designing', 'simulation', 'implementation', 'commission', 'programming', 'troubleshooting', 'maintenance', 'automation', 'electrical systems', 'direction', 'coaching', 'organization', 'communication', 'safety', 'technical problem solving', 'supervision', 'inventory management'], ['repair services', 'customer support', 'equipment installation', 'fire alarm systems', 'preventive maintenance'], ['facility operation', 'machinery maintenance', 'testing equipment', 'wind tunnels', 'mechanical modification', 'installation', 'system inspection', 'report generation'], ['logistics coordination', 'equipment maintenance', 'troubleshooting', 'inventory management', 'compliance'], ['materials expediting', 'configuration verification', 'problem solving', 'auditing', 'promis software', 'logistics'], ['production planning', 'materials management', 'schedule management', 'order management', 'communication']]","['Equipment Engineering Technician', 'Mechanical Technician', 'Operating Engineer / Test Technician', 'Logistics Coordinator / Sr. Lab Technician', 'Production Control Analyst', 'Material/Production Planner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,,,,,,,,,,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.9262,0.5,0.51062995,0.5031889885663986,,,0.0,0.0,1.0,1.0,0.7515944972634315,92.62,Excellent
,Expertise EDA modeler. I like to learn what my data contains and how well I can model it depending on the problem. I can also leverage different visualization tools to aid the understanding of the extracted data and finally use the required ML algorithm to get an outcome.,"['Data Analysis', 'Business Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'NLP', 'Credit Risk', 'Tableau', 'Statistical Analysis', 'Data Visualization', 'Data Science', 'R', 'Power Bi']","['KVoCT, Pune', 'KVoCT, Pune']","['B.CA', 'M.CA']","['2018', '2020']","[None, None]","[None, None]","[None, None]",['Passionate Solution'],[None],['Feb 2020'],['Ongoing'],"[['EDA', 'Data Cleaning', 'Data Modeling']]",['Jr. Data Scientist'],[None],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,,,,,,,,,,,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",VAT and Tax,0.0139,0.0,0.4870586,0.14611758291721344,,,0.0,3.0,0.0,1.0,0.27305879443883896,1.39,Very Low
